Lifetime,od,opweekend,opweek,mvs,holiday1,Genre1,sequel,larm1,larf1,dirr1,fg,imdb,cr,tv_weeks,tv_spots,tv_channels,tv_grps,tv_spend,reach1,reach3,reach5,yt_trailerviews,yt_trailerlikes,yt_trailerdislikes,yt_trailercomm,yt_moviesongv,yt_moviesonglikes,yt_moviesongdislikes,yt_moviesongcomm,fb_pagelikes,fb_pageposts,fb_newlikes,tw_follws,tw_twts,tw_faves,search_mvkywd,search_castkywd,rad6_twit,rad6_comm,rad6_news,rad6_agg,rad6_blgs,rad6_vds,rad6_twsentiP,rad6_twsentiN
5.6,0.4,1.65,2,0,0,0,0,0,0,1,0,8.2,2,3,5999,28,100.05,17300800,26,9,4,1840645,3435,326,311,2186512,3827,438,199,53821,71,66,1853,769,94,270080,567100,1101,4,12,6,11,4,90,10
 339.50,26.63,95.21, 182.39,0,0,0,0,1,0,1,116194,8.3,4.5,9,31039,48,1008.62,67407466.67,77,61,49,13704522,44514,5859,7143,12508560,28447,3493,1696,14004,658,33,41900,560,6,4467400,7513390,12386,44,36,39,20,35,43,47
 55.25,9.25,29, 45.75,0,0,0,0,0,0,0,24654,5.9,2.5,6,35230,44,970.38,64542600,73,55,44,2794082,6943,496,306,21586301,34940,3779,629,102852,357,316,4252,1711,127,536410,1150160,1164,4,73,14,7,6,55,45
 19.00,3.6,12.65,19,0,0,0,0,0,0,1,15178,8.4,2,6,35230,44,970.38,44240266.67,73,55,44,7134614,23679,2458,3308,2784912,8513,605,815,25308,33,34,862,826,1,833080,1019490,5962,5,24,16,3,6,58,42
14, 02.82,8.6, 14.00,0,0,1,0,1,1,0,57578,3.3,2,6,26484,40,797.91,63607300,68,50,39,13428490,19426,3905,2955,18031723,26385,5009,1955,1570,1,1,12300,16400,767,466500,617180,2429,6,14,13,8,15,70,30
 00.40,0.12,0.4,0.4,1,0,0,0,0,0,0,21480,4.3,2,6,14317,35,433.32,28192750,61,39,28,6817346,6801,2257,145,15919419,31557,3412,2090,60679,240,207,975,750,283,371580,1092280,643,2,16,6,8,14,70,30
  21.89,4,14.5,20.85,1,0,0,0,0,0,0,0,7.2,1.5,4,9132,28,221.1,15976400,47,26,16,535141,660,70,107,72734,219,46,54,44806,27,23,157,404,74,34120,81320,125,2,13,1,3,5,62,38
 31.15,6.85,20,29,0,0,0,0,0,0,0,33362,5.4,3,7,20898,37,625.7,59225600,67,47,35,5238947,6969,1130,769,10568918,34436,1938,1223,3703,NA,NA,3880,2717,113,345900,494290,778,4,19,12,5,7,98,2
 32.06,5,18,28,0,0,1,0,0,0,0,25915,4.5,2,6,35127,39,1193.67,63390408.33,82,68,57,3419781,8311,1308,1711,4996960,10511,1573,1049,12440,36,42,10200,1353,75,8380,10840,51,0,117,2,8,0,40,60
 05.00, 00.70, 02.50, 05.00,1,0,0,0,1,0,0,0,5.4,3.5,6,30310,43,795.51,60785216.67,74,55,43,2401857,4390,561,456,14450578,32172,4573,1709,93783,112,97,7661,1583,37,81660,105870,579,0,24,12,2,13,58,42
5, 00.45,1.5, 05.00,1,0,0,0,0,0,0,0,7.2,2.5,3,9777,23,213.5,17241400,45,23,14,1145614,3617,872,432,750881,876,186,113,38102,59,56,61,849,NA,345390,441050,301,0,8,11,2,4,43,57
    08.00, 01.70,5,    08.00,1,0,0,0,0,1,0,0,4.8,2.5,5,25889,40,666.41,41803550,72,53,41,896332,1593,285,215,1401268,3674,338,301,58029,95,78,0,0,0,58110,167670,170,2,6,6,2,3,82,18
58.3,6.14,26.78,50.07,1,0,0,0,0,0,0,361,5.8,1.5,5,24191,53,623.56,42423133.33,73,53,39,301015,545,82,75,478673,475,57,80,311329,239,196,527,1040,151,117290,398270,466,0,1,1,0,0,82,18
203.3,44.97,108.86,157.5,0,1,0,0,1,1,1,76558,5.6,4.5,12,59681,75,1621.44,130923433.3,85,72,62,6513691,37793,10339,6869,77428706,111797,22535,7170,4632227,19087,12309,189000,174000,195,2273400,4265800,108141,2841,1083,551,309,255,96,4
181.03,27.54, 94.13,135.45,0,0,1,0,1,1,0,45507,5.5,3.5,7,36503,74,1030.87,90170125,81,63,51,15963034,61874,6310,8751,34554283,74690,6393,4616,15079,13,12,17000,46,2,1032200,1426400,3292,4,42,19,7,10,60,40
24.2,3.75,13.6,20.45,1,0,0,0,0,0,0,17301,6.2,2.5,10,40863,34,1218.35,44887033.33,84,68,57,3933932,8351,1378,722,2825185,6984,572,398,2855,6,4,9347,1178,0,165290,216480,331,2,17,2,2,11,67,33
25.87,2.75,11.25,19,1,0,0,0,0,0,0,18156,6.4,2.5,8,18573,42,589.67,44887033.33,72,49,35,5556837,12740,2054,2700,76751767,54509,8485,3465,22206,26,23,259,28,2,290660,393650,1010,2,7,8,3,3,85,15
35.91,5.1, 19.90,28.09,1,0,0,0,0,1,0,3632,5.9,3,5,20477,34,577.74,44005633.33,68,47,35,6175239,13051,2756,1946,4555992,10967,1815,1041,47962,69,74,4524,502,55,385400,424910,27043,143,643,177,133,124,79,21
20,3.24,  11.34,18.18,1,0,0,0,0,0,0,13530,3.1,4,9,38009,39,846.29,71145566.67,72,54,42,2956254,5953,1556,774,13516019,33179,3732,2231,150096,682,640,0,0,0,167390,254610,403,1,16,4,1,4,57,43
64,8.4, 30.60, 46.00,0,1,0,0,0,1,0,0,6.7,4,8,21572,52,638.94,40587150,74,53,41,6143627,26654,1651,2042,1650338,4829,177,206,308281,2177,1745,15400,1189,170,778290,1027800,2472,11,50,12,6,18,86,14
29.5, 05.75, 17.00, 26.00,0,0,0,0,0,0,0,21107,6.1,3,5,15888,31,577.07,33457150,68,49,36,4084136,4084150,8225,1160,1923479,4636,409,494,3069,5,3,0,0,0,124310,201880,519,2,17,5,3,8,51,49
36,3.75,14.5,23,0,1,0,0,0,1,0,2824,7.5,3,5,27258,37,970.56,51719700,79,62,51,4419792,14509,1040,1888,677092,2315,79,3,10402,NA,NA,2690,929,2,285660,417890,30099,56,347,132,78,45,80,20
 141.00, 32.00,77.55,112,0,0,1,1,1,1,1,9093,5.8,4,7,35879,67,1013.75,81196300,76,59,49,8339719,20090,2911,2914,15264671,36077,16686,4662,5140,5,4,1287,870,80,545690,587550,28729,1039,605,208,185,133,70,30
72.5,11.16,36.69,56.5,0,0,0,0,1,0,0,0,4.7,3.5,5,26328,43,882.25,36598733.33,73,59,48,6396032,20585,2860,1531,27807186,53195,6677,2824,1578422,19946,10820,0,0,0,392400,739160,984,1,27,0,2,3,92,8
233,26,83.5,164,0,0,1,0,1,0,0,39053,5.6,4.5,9,38876,61,1140.18,80191083.33,74,57,47,19132542,101724,10222,5521,80340065,67396,15565,8972,21134,16,12,35300,1223,4,1460600,2979700,2918,7,8,1,6,7,53,47
13.5,1.6,5.1,10,1,0,0,0,0,0,0,0,7,3,5,10034,35,258.83,23685750,56,29,18,4887474,3850,818,480,5442595,7182,757,316,110585,153,141,714,1156,103,164100,316470,162,0,0,1,0,0,65,36
2.5,0.6,1.75,2.5,1,0,0,0,0,0,0,41892,4.9,1.5,5,21153,20,695.85,42790366.67,67,48,36,2442249,4434,832,280,19199023,61541,8673,3847,54409,54,41,658,331,28,1740,3640,0,0,3,0,0,0,75,25
32.1,3.35,13.3,20.5,0,1,0,0,0,0,0,18272,7.2,3,3,7446,25,258.7,13859266.67,51,28,17,5809556,15652,1570,1855,73380,4463,402,324,4283,6,2,10700,1623,208,694660,979540,162,0,0,0,0,0,39,41
7,1.3,3.94,7,0,0,0,0,0,0,0,0,2.7,1,7,8057,14,168.84,9838033.333,41,19,11,2412270,2302,1045,198,2968146,2442,977,238,1101,0,0,3142,865,262,297320,460140,28,0,0,0,0,0,80,20
30,1.1,6,10.65,1,0,0,0,0,0,0,12411,7.5,3,3,17300,32,590.6,23081700,71,50,37,3389366,8354,634,886,5358379,15411,1252,1060,96689,603,280,3263,1721,151,77700,287570,286,0,3,0,0,0,96,4
6.65,1.25,4.5,5.95,1,0,1,1,0,0,0,0,5.7,1.5,4,10036,28,319.34,13997550,61,36,22,1945562,1914,92,314,5796,15,1,3,996,1,1,0,0,0,1740,3640,422,0,0,0,0,1,85,15
51.4,7.12,24,37,0,0,0,0,0,0,0,122170,7.6,3.5,7,22074,29,700.14,49489500,69,48,37,4696177,10722,905,1118,16777335,4465207,3493,3067,3634,17,13,10400,4061,107,800690,1353800,5897,6,32,14,14,10,72,28
44.5,10.4,28.68, 41.77,0,0,0,0,0,0,0,168496,3.1,3.5,12,46111,42,989.3,99614233.33,76,55,43,7806941,19059,3248,1522,95308146,155675,22843,10623,161520,653,583,10700,1232,11,1209500,1866000,369,0,0,0,0,0,48,52
22.45,3.5,13.25,19,2,0,0,0,1,0,1,22417,7,2.5,4,18459,43,631.98,34128066.67,70,48,37,6006763,17913,1957,1525,3324769,13167,1089,1092,3045,4,4,2233,1827,15,109600,724430,1737,0,7,2,0,6,93,7
3,0.57, 02.00, 03.00,2,0,0,0,0,0,0,8077,5.6,1.5,5,16315,31,477.34,41314850,64,41,29,2757413,8921,567,1222,1341098,4281,341,325,1179,2,1,182,74,25,83090,155750,198,0,2,0,0,0,81,19
14.02,1.92,6.67,11.3,2,0,0,0,0,0,0,46467,3.9,1.5,8,19392,36,580.88,40377116.67,70,48,35,3184874,5067,1063,464,21883372,50560,4123,2352,4552,8,11,770,269,455,189800,522050,90,0,2,1,0,0,62,38
 95.50,9.3, 35.90,63.82,1,0,1,0,1,0,0,20155,8.2,4.5,9,31869,42,877.98,59023300,75,56,44,8133066,29475,2481,5354,1530468,4370,399,357,175868,486,442,23700,774,98,901600,1451500,3842,2,2,1,0,4,72,28
19.26,2,10.3,18.66,1,0,0,0,0,0,0,18165,4.6,3.5,8,18301,25,527.83,41384683.33,61,40,28,2633227,5867,857,516,8242983,12112,3069,828,84375,425,345,4664,1542,2,165200,238050,74,0,1,0,1,0,79,21
 22.00,3.5,14,22,0,0,0,0,0,0,0,37722,3.6,3.5,7,18463,31,521.66,43290866.67,59,38,26,9032570,19123,2982,1276,17674767,32076,4444,2068,350837,2102,2042,8111,3567,1305,670000,1103400,277,0,1,2,0,0,55,45
39,7.05,22.05,35,0,0,1,0,0,1,0,60819,4.1,4,10,28491,37,951.18,74782850,63,42,31,6202555,11314,1745,1145,23982679,54122,6914,4311,1046,58,23,15900,4084,1484,641020,979020,421,1,1,1,4,0,79,21
