,Date,Total Visits
1,1/1/2013,143548
2,1/2/2013,188835
3,1/3/2013,183666
4,1/4/2013,188242
5,1/5/2013,159388
6,1/6/2013,129542
7,1/7/2013,200305
8,1/8/2013,198418
9,1/9/2013,208456
10,1/10/2013,275856
11,1/11/2013,260083
12,1/12/2013,169960
13,1/13/2013,116482
14,1/14/2013,131064
15,1/15/2013,163552
16,1/16/2013,172155
17,1/17/2013,167940
18,1/18/2013,163804
19,1/19/2013,143752
20,1/20/2013,117688
21,1/21/2013,157879
22,1/22/2013,142428
23,1/23/2013,146923
24,1/24/2013,172581
25,1/25/2013,156194
26,1/26/2013,109244
27,1/27/2013,96126
28,1/28/2013,115076
29,1/29/2013,109670
30,1/30/2013,109605
31,1/31/2013,119407
32,2/1/2013,121479
33,2/2/2013,101969
34,2/3/2013,83192
35,2/4/2013,115871
36,2/5/2013,114807
37,2/6/2013,117320
38,2/7/2013,131173
39,2/8/2013,129191
40,2/9/2013,105113
41,2/10/2013,89356
42,2/11/2013,135140
43,2/12/2013,139601
44,2/13/2013,135642
45,2/14/2013,133649
46,2/15/2013,133872
47,2/16/2013,116350
48,2/17/2013,91209
49,2/18/2013,115720
50,2/19/2013,107385
51,2/20/2013,103266
52,2/21/2013,113273
53,2/22/2013,111507
54,2/23/2013,90416
55,2/24/2013,70098
56,2/25/2013,86879
57,2/26/2013,87788
58,2/27/2013,87327
59,2/28/2013,81355
60,3/1/2013,102226
61,3/2/2013,83183
62,3/3/2013,70365
63,3/4/2013,90699
64,3/5/2013,91724
65,3/6/2013,96196
66,3/7/2013,110758
67,3/8/2013,110805
68,3/9/2013,85677
69,3/10/2013,69681
70,3/11/2013,95693
71,3/12/2013,95881
72,3/13/2013,98862
73,3/14/2013,122062
74,3/15/2013,124477
75,3/16/2013,105917
76,3/17/2013,90636
77,3/18/2013,116567
78,3/19/2013,119641
79,3/20/2013,119107
80,3/21/2013,132443
81,3/22/2013,140035
82,3/23/2013,121426
83,3/24/2013,105733
84,3/25/2013,141513
85,3/26/2013,136333
86,3/27/2013,132591
87,3/28/2013,134656
88,3/29/2013,113557
89,3/30/2013,115082
90,3/31/2013,94209
91,4/1/2013,110802
92,4/2/2013,105797
93,4/3/2013,106436
94,4/4/2013,117570
95,4/5/2013,124008
96,4/6/2013,101959
97,4/7/2013,84735
98,4/8/2013,125797
99,4/9/2013,141004
100,4/10/2013,146977
101,4/11/2013,113240
102,4/12/2013,132713
103,4/13/2013,120003
104,4/14/2013,101184
105,4/15/2013,117325
106,4/16/2013,111560
107,4/17/2013,114720
108,4/18/2013,127340
109,4/19/2013,126074
110,4/20/2013,109038
111,4/21/2013,89916
112,4/22/2013,118224
113,4/23/2013,118162
114,4/24/2013,121358
115,4/25/2013,139266
116,4/26/2013,146566
117,4/27/2013,118963
118,4/28/2013,92568
119,4/29/2013,143367
120,4/30/2013,152094
121,5/1/2013,121775
122,5/2/2013,159589
123,5/3/2013,173993
124,5/4/2013,156640
125,5/5/2013,121938
126,5/6/2013,149799
127,5/7/2013,151292
128,5/8/2013,166564
129,5/9/2013,219181
130,5/10/2013,238856
131,5/11/2013,190929
132,5/12/2013,142027
133,5/13/2013,181778
134,5/14/2013,180369
135,5/15/2013,179058
136,5/16/2013,197780
137,5/17/2013,204311
138,5/18/2013,175842
139,5/19/2013,142133
140,5/20/2013,189282
141,5/21/2013,185262
142,5/22/2013,189999
143,5/23/2013,214658
144,5/24/2013,220109
145,5/25/2013,187533
146,5/26/2013,145779
147,5/27/2013,191027
148,5/28/2013,185466
149,5/29/2013,176962
150,5/30/2013,191040
151,5/31/2013,191144
152,6/1/2013,173066
153,6/2/2013,131493
154,6/3/2013,157542
155,6/4/2013,154886
156,6/5/2013,158323
157,6/6/2013,176758
158,6/7/2013,172586
159,6/8/2013,145406
160,6/9/2013,119941
161,6/10/2013,148388
162,6/11/2013,140492
163,6/12/2013,141042
164,6/13/2013,151956
165,6/14/2013,149243
166,6/15/2013,126731
167,6/16/2013,103748
168,6/17/2013,129522
169,6/18/2013,127509
170,6/19/2013,125272
171,6/20/2013,137260
172,6/21/2013,140393
173,6/22/2013,117032
174,6/23/2013,86540
175,6/24/2013,113252
176,6/25/2013,112324
177,6/26/2013,114276
178,6/27/2013,125606
179,6/28/2013,127175
180,6/29/2013,104577
181,6/30/2013,83212
182,7/1/2013,111063
183,7/2/2013,114305
184,7/3/2013,116656
185,7/4/2013,129220
186,7/5/2013,134580
187,7/6/2013,106551
188,7/7/2013,88403
189,7/8/2013,132011
190,7/9/2013,123161
191,7/10/2013,125457
192,7/11/2013,149839
193,7/12/2013,159972
194,7/13/2013,131384
