Date,CommodityContract,Value (Rs. In Lakhs),Traded Contracts (in Lots),SegmentName
2-Mar-15,GOLD         ,398505.69,14949,PRECIOUS METAL PRODUCTS
3-Mar-15,GOLD         ,376794.27,14226,PRECIOUS METAL PRODUCTS
4-Mar-15,GOLD         ,379748,14327,PRECIOUS METAL PRODUCTS
5-Mar-15,GOLD         ,327929.37,12362,PRECIOUS METAL PRODUCTS
6-Mar-15,GOLD         ,363867.45,13874,PRECIOUS METAL PRODUCTS
9-Mar-15,GOLD         ,316720.36,12150,PRECIOUS METAL PRODUCTS
10-Mar-15,GOLD         ,583726.68,22524,PRECIOUS METAL PRODUCTS
11-Mar-15,GOLD         ,505132.87,19570,PRECIOUS METAL PRODUCTS
12-Mar-15,GOLD         ,567816.41,22086,PRECIOUS METAL PRODUCTS
13-Mar-15,GOLD         ,487252.78,18861,PRECIOUS METAL PRODUCTS
16-Mar-15,GOLD         ,364172.36,14101,PRECIOUS METAL PRODUCTS
17-Mar-15,GOLD         ,548126.71,21343,PRECIOUS METAL PRODUCTS
18-Mar-15,GOLD         ,426238.24,16651,PRECIOUS METAL PRODUCTS
19-Mar-15,GOLD         ,526995.84,20347,PRECIOUS METAL PRODUCTS
20-Mar-15,GOLD         ,467823.53,17963,PRECIOUS METAL PRODUCTS
23-Mar-15,GOLD         ,313856.19,12001,PRECIOUS METAL PRODUCTS
24-Mar-15,GOLD         ,386192.88,14695,PRECIOUS METAL PRODUCTS
25-Mar-15,GOLD         ,426309.81,16156,PRECIOUS METAL PRODUCTS
26-Mar-15,GOLD         ,541739.42,20191,PRECIOUS METAL PRODUCTS
27-Mar-15,GOLD         ,500412.93,18781,PRECIOUS METAL PRODUCTS
30-Mar-15,GOLD         ,532795.85,20179,PRECIOUS METAL PRODUCTS
31-Mar-15,GOLD         ,625566.96,23761,PRECIOUS METAL PRODUCTS
1-Apr-15,GOLD         ,447045.58,16888,PRECIOUS METAL PRODUCTS
2-Apr-15,GOLD         ,252620.84,9499,PRECIOUS METAL PRODUCTS
6-Apr-15,GOLD         ,358516.49,13285,PRECIOUS METAL PRODUCTS
7-Apr-15,GOLD         ,265114.34,9853,PRECIOUS METAL PRODUCTS
8-Apr-15,GOLD         ,300043.12,11191,PRECIOUS METAL PRODUCTS
9-Apr-15,GOLD         ,353438.38,13315,PRECIOUS METAL PRODUCTS
10-Apr-15,GOLD         ,370322.33,13871,PRECIOUS METAL PRODUCTS
13-Apr-15,GOLD         ,298904.4,11186,PRECIOUS METAL PRODUCTS
14-Apr-15,GOLD         ,250067.74,9434,PRECIOUS METAL PRODUCTS
