Date,CommodityContract,Traded Contracts (in Lots),SegmentName
02 Nov 2015,GOLD         ,10133,PRECIOUS METAL PRODUCTS
03 Nov 2015,GOLD         ,22050,PRECIOUS METAL PRODUCTS
04 Nov 2015,GOLD         ,15959,PRECIOUS METAL PRODUCTS
05 Nov 2015,GOLD         ,16497,PRECIOUS METAL PRODUCTS
06 Nov 2015,GOLD         ,19100,PRECIOUS METAL PRODUCTS
09 Nov 2015,GOLD         ,12254,PRECIOUS METAL PRODUCTS
10 Nov 2015,GOLD         ,10872,PRECIOUS METAL PRODUCTS
11 Nov 2015,GOLD         ,2423,PRECIOUS METAL PRODUCTS
12 Nov 2015,GOLD         ,10948,PRECIOUS METAL PRODUCTS
13 Nov 2015,GOLD         ,10893,PRECIOUS METAL PRODUCTS
16 Nov 2015,GOLD         ,17696,PRECIOUS METAL PRODUCTS
17 Nov 2015,GOLD         ,18750,PRECIOUS METAL PRODUCTS
18 Nov 2015,GOLD         ,12692,PRECIOUS METAL PRODUCTS
19 Nov 2015,GOLD         ,17402,PRECIOUS METAL PRODUCTS
20 Nov 2015,GOLD         ,15722,PRECIOUS METAL PRODUCTS
23 Nov 2015,GOLD         ,14786,PRECIOUS METAL PRODUCTS
24 Nov 2015,GOLD         ,13742,PRECIOUS METAL PRODUCTS
25 Nov 2015,GOLD         ,7555,PRECIOUS METAL PRODUCTS
26 Nov 2015,GOLD         ,9198,PRECIOUS METAL PRODUCTS
27 Nov 2015,GOLD         ,19692,PRECIOUS METAL PRODUCTS
30 Nov 2015,GOLD         ,17632,PRECIOUS METAL PRODUCTS
01 Dec 2015,GOLD         ,17292,PRECIOUS METAL PRODUCTS
02 Dec 2015,GOLD         ,14760,PRECIOUS METAL PRODUCTS
03 Dec 2015,GOLD         ,18431,PRECIOUS METAL PRODUCTS
04 Dec 2015,GOLD         ,24455,PRECIOUS METAL PRODUCTS
07 Dec 2015,GOLD         ,9246,PRECIOUS METAL PRODUCTS
08 Dec 2015,GOLD         ,14798,PRECIOUS METAL PRODUCTS
09 Dec 2015,GOLD         ,15965,PRECIOUS METAL PRODUCTS
10 Dec 2015,GOLD         ,10518,PRECIOUS METAL PRODUCTS
11 Dec 2015,GOLD         ,18831,PRECIOUS METAL PRODUCTS
14 Dec 2015,GOLD         ,13788,PRECIOUS METAL PRODUCTS
15 Dec 2015,GOLD         ,13951,PRECIOUS METAL PRODUCTS
16 Dec 2015,GOLD         ,14022,PRECIOUS METAL PRODUCTS
17 Dec 2015,GOLD         ,22012,PRECIOUS METAL PRODUCTS
18 Dec 2015,GOLD         ,17140,PRECIOUS METAL PRODUCTS
21 Dec 2015,GOLD         ,15555,PRECIOUS METAL PRODUCTS
22 Dec 2015,GOLD         ,12148,PRECIOUS METAL PRODUCTS
23 Dec 2015,GOLD         ,12134,PRECIOUS METAL PRODUCTS
24 Dec 2015,GOLD         ,5323,PRECIOUS METAL PRODUCTS
28 Dec 2015,GOLD         ,8117,PRECIOUS METAL PRODUCTS
29 Dec 2015,GOLD         ,11090,PRECIOUS METAL PRODUCTS
30 Dec 2015,GOLD         ,12686,PRECIOUS METAL PRODUCTS
31 Dec 2015,GOLD         ,8401,PRECIOUS METAL PRODUCTS
01 Jan 2016,GOLD         ,1985,PRECIOUS METAL PRODUCTS
04 Jan 2016,GOLD         ,20426,PRECIOUS METAL PRODUCTS
05 Jan 2016,GOLD         ,14632,PRECIOUS METAL PRODUCTS
06 Jan 2016,GOLD         ,22678,PRECIOUS METAL PRODUCTS
07 Jan 2016,GOLD         ,23524,PRECIOUS METAL PRODUCTS
08 Jan 2016,GOLD         ,22730,PRECIOUS METAL PRODUCTS
11 Jan 2016,GOLD         ,17277,PRECIOUS METAL PRODUCTS
12 Jan 2016,GOLD         ,18134,PRECIOUS METAL PRODUCTS
13 Jan 2016,GOLD         ,16125,PRECIOUS METAL PRODUCTS
14 Jan 2016,GOLD         ,18704,PRECIOUS METAL PRODUCTS
15 Jan 2016,GOLD         ,21345,PRECIOUS METAL PRODUCTS
18 Jan 2016,GOLD         ,10104,PRECIOUS METAL PRODUCTS
19 Jan 2016,GOLD         ,15160,PRECIOUS METAL PRODUCTS
20 Jan 2016,GOLD         ,25476,PRECIOUS METAL PRODUCTS
21 Jan 2016,GOLD         ,23871,PRECIOUS METAL PRODUCTS
22 Jan 2016,GOLD         ,16042,PRECIOUS METAL PRODUCTS
25 Jan 2016,GOLD         ,14596,PRECIOUS METAL PRODUCTS
27 Jan 2016,GOLD         ,14938,PRECIOUS METAL PRODUCTS
28 Jan 2016,GOLD         ,18517,PRECIOUS METAL PRODUCTS
29 Jan 2016,GOLD         ,20573,PRECIOUS METAL PRODUCTS
01 Feb 2016,GOLD         ,13665,PRECIOUS METAL PRODUCTS
02 Feb 2016,GOLD         ,11696,PRECIOUS METAL PRODUCTS
03 Feb 2016,GOLD         ,18481,PRECIOUS METAL PRODUCTS
04 Feb 2016,GOLD         ,15506,PRECIOUS METAL PRODUCTS
05 Feb 2016,GOLD         ,21460,PRECIOUS METAL PRODUCTS
08 Feb 2016,GOLD         ,23592,PRECIOUS METAL PRODUCTS
09 Feb 2016,GOLD         ,22140,PRECIOUS METAL PRODUCTS
10 Feb 2016,GOLD         ,21372,PRECIOUS METAL PRODUCTS
11 Feb 2016,GOLD         ,35734,PRECIOUS METAL PRODUCTS
12 Feb 2016,GOLD         ,20404,PRECIOUS METAL PRODUCTS
15 Feb 2016,GOLD         ,16727,PRECIOUS METAL PRODUCTS
16 Feb 2016,GOLD         ,23461,PRECIOUS METAL PRODUCTS
17 Feb 2016,GOLD         ,16674,PRECIOUS METAL PRODUCTS
18 Feb 2016,GOLD         ,18489,PRECIOUS METAL PRODUCTS
19 Feb 2016,GOLD         ,19726,PRECIOUS METAL PRODUCTS
