Date,CommodityContract,Traded Contracts (in Lots),SegmentName
02 Mar 2015,GOLD         ,14949,PRECIOUS METAL PRODUCTS
03 Mar 2015,GOLD         ,14226,PRECIOUS METAL PRODUCTS
04 Mar 2015,GOLD         ,14327,PRECIOUS METAL PRODUCTS
05 Mar 2015,GOLD         ,12362,PRECIOUS METAL PRODUCTS
06 Mar 2015,GOLD         ,13874,PRECIOUS METAL PRODUCTS
09 Mar 2015,GOLD         ,12150,PRECIOUS METAL PRODUCTS
10 Mar 2015,GOLD         ,22524,PRECIOUS METAL PRODUCTS
11 Mar 2015,GOLD         ,19570,PRECIOUS METAL PRODUCTS
12 Mar 2015,GOLD         ,22086,PRECIOUS METAL PRODUCTS
13 Mar 2015,GOLD         ,18861,PRECIOUS METAL PRODUCTS
16 Mar 2015,GOLD         ,14101,PRECIOUS METAL PRODUCTS
17 Mar 2015,GOLD         ,21343,PRECIOUS METAL PRODUCTS
18 Mar 2015,GOLD         ,16651,PRECIOUS METAL PRODUCTS
19 Mar 2015,GOLD         ,20347,PRECIOUS METAL PRODUCTS
20 Mar 2015,GOLD         ,17963,PRECIOUS METAL PRODUCTS
23 Mar 2015,GOLD         ,12001,PRECIOUS METAL PRODUCTS
24 Mar 2015,GOLD         ,14695,PRECIOUS METAL PRODUCTS
25 Mar 2015,GOLD         ,16156,PRECIOUS METAL PRODUCTS
26 Mar 2015,GOLD         ,20191,PRECIOUS METAL PRODUCTS
27 Mar 2015,GOLD         ,18781,PRECIOUS METAL PRODUCTS
30 Mar 2015,GOLD         ,20179,PRECIOUS METAL PRODUCTS
31 Mar 2015,GOLD         ,23761,PRECIOUS METAL PRODUCTS
01 Apr 2015,GOLD         ,16888,PRECIOUS METAL PRODUCTS
02 Apr 2015,GOLD         ,9499,PRECIOUS METAL PRODUCTS
06 Apr 2015,GOLD         ,13285,PRECIOUS METAL PRODUCTS
07 Apr 2015,GOLD         ,9853,PRECIOUS METAL PRODUCTS
08 Apr 2015,GOLD         ,11191,PRECIOUS METAL PRODUCTS
09 Apr 2015,GOLD         ,13315,PRECIOUS METAL PRODUCTS
10 Apr 2015,GOLD         ,13871,PRECIOUS METAL PRODUCTS
13 Apr 2015,GOLD         ,11186,PRECIOUS METAL PRODUCTS
14 Apr 2015,GOLD         ,9434,PRECIOUS METAL PRODUCTS
15 Apr 2015,GOLD         ,13525,PRECIOUS METAL PRODUCTS
16 Apr 2015,GOLD         ,13769,PRECIOUS METAL PRODUCTS
17 Apr 2015,GOLD         ,11518,PRECIOUS METAL PRODUCTS
